date,inflow,outflow,local
1913-09-01,904190.0,60000.0,645532.5466003418
1913-10-01,963579.0000000001,77500.0,813412.0164718629
1913-11-01,617393.0,75000.0,513288.9382019043
1913-12-01,336223.0,62000.0,251477.01460266113
1914-01-01,319852.00000000006,62000.0,219560.0988388062
1914-02-01,261362.00000000003,56000.0,159004.08885955813
1914-03-01,198057.00000000003,62000.0,141766.32735443118
1914-04-01,290618.00000000006,60000.0,191232.67875671393
1914-05-01,471335.00000000006,62000.0,320381.9682617188
1914-06-01,349853.0,60000.0,240655.61332702637
1914-07-01,447611.0,62000.0,316654.21702575684
1914-08-01,362569.0,62000.0,245406.99082946777
1914-09-01,378399.0,60000.0,282177.4334716797
1914-10-01,225829.99999999997,75000.0,147468.32426834104
1914-11-01,185927.0,0.0,128269.14302444458
1914-12-01,240138.0,0.0,167830.51594543457
1915-01-01,214802.0,0.0,135092.9805908203
1915-02-01,193482.0,0.0,120304.61575317383
1915-03-01,153254.00000000003,0.0,111894.1560134888
1915-04-01,373584.0,0.0,326672.45851516724
1915-05-01,289522.0,0.0,244551.17667007446
1915-06-01,746394.0,40000.0,615975.0352783203
1915-07-01,1601471.0000000002,338996.0,1097773.93107605
1915-08-01,2162312.0,796902.0,1403918.7818145752
1915-09-01,1859832.0,885331.0,1192140.7106933594
1915-10-01,2162306.0000000005,794871.0,1562068.624664307
1915-11-01,828574.0,217485.0,670103.8433380127
1915-12-01,398008.99999999994,62000.0,318045.07841491693
1916-01-01,298187.0,62000.0,197309.8454837799
1916-02-01,266011.0,58000.0,177313.91133880615
1916-03-01,223426.0,54291.0,173202.71408081055
1916-04-01,203463.0,21557.0,157013.1287689209
1916-05-01,353602.99999999994,28221.0,301894.5907745361
1916-06-01,533892.0,60000.0,465272.86434936523
1916-07-01,2137173.0,271658.0,1615495.0363769531
1916-08-01,2541821.0,1021943.0,1480091.4675292969
1916-09-01,3776850.0,1284809.0,1547774.3078613281
1916-10-01,3356753.0,1477553.0,1516481.1149902344
1916-11-01,3306776.9999999995,1662417.0,1625033.5007662768
1916-12-01,2324073.0,1553834.0,1296331.2023925781
1917-01-01,1396644.0000000005,1203916.0,716806.2514190678
1917-02-01,949800.9999999999,581039.0,397405.48957824695
1917-03-01,1009781.0000000001,470790.0,308325.6914062501
1917-04-01,918574.0000000001,539655.0,257331.8289794923
1917-05-01,1144141.9999999998,635520.0,850159.9923400877
1917-06-01,4284800.000000001,884357.0,2786476.8278808603
1917-07-01,4622744.0,2056101.0,2861219.409011841
1917-08-01,4743826.0,2820749.0,2216835.275543213
1917-09-01,6168561.000000001,3875980.0,2992725.290008546
1917-10-01,6676743.0,4701911.0,3980448.8350372314
1917-11-01,3163604.0000000005,5368341.0,1556528.6036376958
1917-12-01,1789394.0,4304432.0,769215.2445678711
1918-01-01,1467246.0000000002,2111935.0,448371.61950683617
1918-02-01,740819.0000000001,317919.0,367385.36325073254
1918-03-01,569101.9999999999,274269.0,370748.4700927733
1918-04-01,458111.99999999994,281763.0,322293.34596252436
1918-05-01,2034955.9999999998,687001.0,1259679.3662872312
1918-06-01,2301445.0,1205733.0,1275067.0785827637
1918-07-01,3118817.0,1560874.0,1603384.3707580566
1918-08-01,2900535.0,1855617.0,1563361.2941436768
1918-09-01,2741552.0,1801950.0,1300362.691558838
1918-10-01,1048968.9999999998,1448452.0,649808.1164932249
1918-11-01,499284.99999999994,319803.0,421580.1192321777
1918-12-01,420567.0,62000.0,330546.7247619629
1919-01-01,278293.0,62000.0,169701.62637329102
1919-02-01,299864.0,56000.0,177412.41064453125
1919-03-01,302603.00000000006,62000.0,230147.75819396978
1919-04-01,238867.0,60000.0,184349.3505706787
1919-05-01,442222.00000000006,62000.0,403283.61260986334
1919-06-01,658837.0000000001,60000.0,561261.7139816285
1919-07-01,716922.0,62000.0,529997.8393096924
1919-08-01,673836.0000000001,62000.0,511614.6325225831
1919-09-01,799982.0,60000.0,617349.2053337097
1919-10-01,720783.0,77500.0,592194.1639852524
1919-11-01,381768.0,75000.0,307325.6967493629
1919-12-01,494474.99999999994,62000.0,419308.06040950114
1920-01-01,488348.0,62000.0,393781.68924713135
1920-02-01,285078.0,58000.0,195771.898021698
1920-03-01,215196.0,54534.0,167351.56885528564
1920-04-01,210265.0,60000.0,161788.14054870605
1920-05-01,308691.0,62000.0,276298.84926605225
1920-06-01,641488.0,60000.0,591361.4087295532
1920-07-01,1778972.0000000002,153225.0,1372476.0316390994
1920-08-01,3423872.9999999995,1119306.0,1709611.7301025386
1920-09-01,4623184.0,1457123.0,1558189.6564941406
1920-10-01,2925046.0,1716497.0,1094160.3688354492
1920-11-01,1278282.0000000002,982148.0,666323.5124816897
1920-12-01,606484.9999999999,487216.0,365269.71852111805
1921-01-01,578131.0000000001,62000.0,271267.49003601086
1921-02-01,389049.0000000001,136377.0,201566.9138031007
1921-03-01,364393.0,232502.0,227991.46774291992
1921-04-01,433818.0,99585.0,213002.03993225098
1921-05-01,634520.0,139721.0,244368.8501586914
1921-06-01,1014077.0000000001,193845.0,722058.488220215
1921-07-01,1823577.0,1093657.0,875479.1575927734
1921-08-01,3539412.0000000005,1248524.0,1649790.8208007817
1921-09-01,4826824.999999999,1675759.0,1983113.4620361319
1921-10-01,3385110.0000000005,2015004.0,1498169.6730957036
1921-11-01,1264219.0,1561520.0,572435.185760498
1921-12-01,674548.0000000001,490665.0,390539.22287750256
1922-01-01,483099.99999999994,62000.0,199496.3682098388
1922-02-01,889046.0000000001,189219.0,176548.50234985363
1922-03-01,383236.99999999994,145022.0,167816.46032714838
1922-04-01,239459.00000000003,124278.0,146222.53599548343
1922-05-01,342726.99999999994,92753.0,235547.61769103998
1922-06-01,309592.0,193598.0,212535.37127685547
1922-07-01,919324.0000000002,208721.0,774359.994232178
1922-08-01,1094216.0000000002,190777.0,612248.2460021975
1922-09-01,1487191.0,568829.0,640531.9406814575
1922-10-01,1009900.9999999999,199107.0,705517.3826141356
1922-11-01,576837.0,75000.0,483273.4417037964
1922-12-01,293150.0,62000.0,191577.01165771484
1923-01-01,356765.99999999994,62000.0,195811.77130126947
1923-02-01,265693.99999999994,56000.0,155962.30804443354
1923-03-01,185775.0,62000.0,133612.4582977295
1923-04-01,207089.99999999997,60000.0,159250.0789031982
1923-05-01,317142.0,62000.0,281611.4557952881
1923-06-01,1489705.0,212767.0,1231958.6833724976
1923-07-01,2241295.0,920748.0,1234886.616065979
1923-08-01,2251221.0,1273091.0,987595.8930969238
1923-09-01,1651397.0,1234052.0,835718.8370666504
1923-10-01,2344575.0,801540.0,1445022.5027160645
1923-11-01,1141408.0000000002,410956.0,879320.8109359744
1923-12-01,735103.0,105491.0,608683.666343689
1924-01-01,625531.0000000001,62000.0,476834.4259796144
1924-02-01,590612.0000000001,58000.0,415613.7078704835
1924-03-01,498187.0,89988.0,334390.94467163086
1924-04-01,551891.0,60000.0,365299.02743530273
1924-05-01,680057.0,124391.0,464861.024017334
1924-06-01,895412.0000000001,489252.0,616286.0547637941
1924-07-01,717666.9999999999,433814.0,458723.864501953
1924-08-01,1771189.0,596336.0,1315554.1404571533
1924-09-01,2422467.0,989398.0,1362535.122467041
1924-10-01,2177584.0,1235670.0,1204311.3567810059
1924-11-01,2384514.0000000005,1205639.0,1475635.035125733
1924-12-01,1270541.0,1020606.0,628565.8112487793
1925-01-01,1173007.0,447235.0,639547.9342346191
1925-02-01,864489.9999999999,307157.0,645963.1167755126
1925-03-01,387303.0,191133.0,302112.72985839844
